Program,variable,value,lower,upper
CodePro,Diebierse,1.5,,
CodePro,Inspirento,41.3,,
CodePro,Jnfe,19.2,,
CodePro,Jni-inchi,4.7,,
CodePro,Jsecurity,8.5,,
CodePro,Lagoon,0,,
CodePro,Lavalamp,5.9,,
CodePro,Netweaver,11.6,,
CodePro,Saxpath,0,,
CodePro,Xisemele,0,,
Evosuite,Diebierse,28.2,16.6,39.8
Evosuite,Inspirento,29.2,27.9,30.5
Evosuite,Jnfe,28.7,26,31.4
Evosuite,Jni-inchi,27,26,28
Evosuite,Jsecurity,34.3,32.3,36.3
Evosuite,Lagoon,33.7,33,34.4
Evosuite,Lavalamp,46.5,41.7,51.3
Evosuite,Netweaver,36.2,33.8,38.6
Evosuite,Saxpath,58,54.7,61.3
Evosuite,Xisemele,77.1,76,78.2
Manual,Diebierse,43.2,,
Manual,Inspirento,37.1,,
Manual,Jnfe,51.1,,
Manual,Jni-inchi,76.2,,
Manual,Jsecurity,52.1,,
Manual,Lagoon,18.3,,
Manual,Lavalamp,30.4,,
Manual,Netweaver,12.7,,
Manual,Saxpath,43.8,,
Manual,Xisemele,56.5,,
