Program,variable,value,lower,upper
CodePro,diebierse,51,,
CodePro,inspirento,33,,
CodePro,jnfe,349,,
CodePro,jni-inchi,269,,
CodePro,jsecurity,2264,,
CodePro,lagoon,1655,,
CodePro,lavalamp,319,,
CodePro,netweaver,3513,,
CodePro,saxpath,539,,
CodePro,xisemele,358,,
CodePro,jdbacl,10405,,
CodePro,schemaspy,3483,,
CodePro,hft-bomberman,1398,,
CodePro,bpmail,251,,
CodePro,geo-google,12249,,
Evosuite,diebierse,24.4,21,27
Evosuite,inspirento,122.4,108,128
Evosuite,jnfe,87.2,87,88
Evosuite,jni-inchi,172.8,170,173
Evosuite,jsecurity,582.6,562,595
Evosuite,lagoon,300.6,300,302
Evosuite,lavalamp,129,125,131
Evosuite,netweaver,122.8,121,125
Evosuite,saxpath,200,197,201
Evosuite,xisemele,152.2,151,154
Evosuite,jdbacl,20.6,18.9,22.2
Evosuite,schemaspy,189.2,138.7,239.7
Evosuite,hft-bomberman,171.4,159.5,183.3
Evosuite,bpmail,75.6,71.0,80.2
Evosuite,geo-google,999.6,987.0,1012.3
Randoop,diebierse,16120,,
Randoop,inspirento,2678,,
Randoop,jnfe,38188,,
Randoop,jni-inchi,10298,,
Randoop,jsecurity,8600,,
Randoop,lagoon,23820,,
Randoop,lavalamp,2906,,
Randoop,netweaver,17000,,
Randoop,saxpath,73498,,
Randoop,xisemele,230,,
Randoop,jdbacl,10560,,
Randoop,schemaspy,4540,,
Randoop,hft-bomberman,204,,
Randoop,bpmail,12552,,
Randoop,geo-google,19282,,
Manual,diebierse,3,,
Manual,inspirento,59,,
Manual,jnfe,12,,
Manual,jni-inchi,138,,
Manual,jsecurity,117,,
Manual,lagoon,25,,
Manual,lavalamp,151,,
Manual,netweaver,301,,
Manual,saxpath,53,,
Manual,xisemele,61,,
Manual,jdbacl,190,,
Manual,schemaspy,9,,
Manual,hft-bomberman,33,,
Manual,bpmail,5,,
Manual,geo-google,7,,
