program,variable,value,lower,upper,,,,,
Codepro,diebierse,20,,,,,,,
Codepro,inspirento,10,,,,,,,
Codepro,jnfe,14,,,,,,,
Codepro,jniinchi,15,,,,,,,
Codepro,jsecurity,72,,,,,,,
Codepro,lagoon,18,,,,,,,
Codepro,lavalamp,166,,,,,,,
Codepro,netweaver,86,,,,,,,
Codepro,saxpath,11,,,,,,,
Codepro,xisemele,11,,,,,,,
Codepro,jdbacl,63,,,,,,,
Codepro,schemaspy,110,,,,,,,
Codepro,hft-bomberman,291,,,,,,,
Codepro,bpmail,19,,,,,,,
Codepro,geo-google,39,,,,,,,
Manual,diebierse,32,,,,,,,
Manual,inspirento,12,,,,,,,
Manual,jnfe,13,,,,,,,
Manual,jniinchi,16,,,,,,,
Manual,jsecurity,1741,,,,,,,
Manual,lagoon,62,,,,,,,
Manual,lavalamp,94,,,,,,,
Manual,netweaver,801,,,,,,,
Manual,saxpath,29,,,,,,,
Manual,xisemele,37,,,,,,,
Manual,jdbacl,0,,,,,,,
Manual,schemaspy,12,,,,,,,
Manual,hft-bomberman,15,,,,,,,
Manual,bpmail,8,,,,,,,
Manual,geo-google,405,,,Evo1,Evo2,Evo3,Evo4,Evo5
Evosuite,diebierse,5.42,5.1,5.9,5.5,5.1,5.9,5.5,5.1
Evosuite,inspirento,13.52,13.4,13.7,13.5,13.7,13.5,13.4,13.5
Evosuite,jnfe,11.26,10.9,11.5,11.5,11.5,10.9,11.5,10.9
Evosuite,jniinchi,10.6,10.5,10.7,10.6,10.6,10.7,10.6,10.5
Evosuite,jsecurity,25.5,24.5,27.2,26.1,27.2,24.5,24.7,25
Evosuite,lagoon,17.82,17.6,18,17.8,17.9,18,17.8,17.6
Evosuite,lavalamp,11.98,8.9,21.1,21.1,10.4,9.6,9.9,8.9
Evosuite,netweaver,12.56,12,13.1,12,13.1,12.9,12.5,12.3
Evosuite,saxpath,12.1,10.4,12.6,12.6,12.6,10.4,12.5,12.4
Evosuite,xisemele,10.52,10.4,10.6,10.6,10.4,10.5,10.6,10.5
Evosuite,jdbacl,15.4,15,15,16,15,16,15
Evosuite,schemaspy,51.4,51,49,50,59,46,53
Evosuite,hft-bomberman,15,15,15,15,15,15,15
Evosuite,bpmail,12,13,12,11,13,11,12
Evosuite,geo-google,28.6,30,28,27,28,30,28
Randoop,diebierse,30,,,,,,,
Randoop,inspirento,27,,,,,,,
Randoop,jnfe,1069,,,,,,,
Randoop,jniinchi,0,,,,,,,
Randoop,jsecurity,44,,,,,,,
Randoop,lagoon,34,,,,,,,
Randoop,lavalamp,166,,,,,,,
Randoop,netweaver,0,,,,,,,
Randoop,saxpath,433,,,,,,,
Randoop,xisemele,7,,,,,,,
Randoop,jdbacl,234,,,,,,,
Randoop,schemaspy,231,,,,,,,
Randoop,hft-bomberman,15,,,,,,,
Randoop,bpmail,821,,,,,,,
Randoop,geo-google,100,,,,,,,
