Program,variable,value,lower,upper
CodePro,Diebierse,17,,
CodePro,Inspirento,81,,
CodePro,Jnfe,12,,
CodePro,Jni-inchi,10,,
CodePro,Jsecurity,1973,,
CodePro,Lagoon,1213,,
CodePro,Lavalamp,35,,
CodePro,Netweaver,3083,,
CodePro,Saxpath,13,,
CodePro,Xisemele,13,,
CodePro,Jdbacl,5534,,
CodePro,SchemaSpy,3154,,
CodePro,Hft-Bomberman,172,,
CodePro,Bpmail,14,,
CodePro,Geo-Google,4681,,
Evosuite,Diebierse,1620.6,1615.3,1625.9
Evosuite,Inspirento,2698.4,2620.7,2776.1
Evosuite,Jnfe,2488.8,2476.1,2501.5
Evosuite,Jni-inchi,1413.4,1394.3,1432.5
Evosuite,Jsecurity,10878.8,10361.6,11396
Evosuite,Lagoon,7053.8,6946.3,7161.3
Evosuite,Lavalamp,2924,2883.4,2964.6
Evosuite,Netweaver,5332.6,5283.9,5381.3
Evosuite,Saxpath,844.4,807.9,880.9
Evosuite,Xisemele,1936.6,1910.7,1962.5
Evosuite,Jdbacl,2287.8,2230.7,2344.8
Evosuite,SchemaSpy,10839.4,10710.2,10968.5
Evosuite,Hft-Bomberman,8881.6,8770.8,8992.4
Evosuite,Bpmail,2080.4,2051.6,2109.1
Evosuite,Geo-Google,5188.0,5148.5,5227.4
Randoop,Diebierse,1469,,
Randoop,Inspirento,299,,
Randoop,Jnfe,3564,,
Randoop,Jni-inchi,989,,
Randoop,Jsecurity,895,,
Randoop,Lagoon,2554,,
Randoop,Lavalamp,290,,
Randoop,Netweaver,1967,,
Randoop,Saxpath,6546,,
Randoop,Xisemele,29,,
Randoop,Jdbacl,2090,,
Randoop,SchemaSpy,670,,
Randoop,Hft-Bomberman,34,,
Randoop,Bpmail,1256,,
Randoop,Geo-Google,1887,,
