program,variable,value,lower,upper,,,,,
Codepro,diebierse,2.3,,,,,,,
Codepro,inspirento,12.1,,,,,,,
Codepro,jnfe,9.8,,,,,,,
Codepro,jniinchi,8.2,,,,,,,
Codepro,jsecurity,24.1,,,,,,,
Codepro,lagoon,15.6,,,,,,,
Codepro,lavalamp,17.8,,,,,,,
Codepro,netweaver,10.3,,,,,,,
Codepro,saxpath,12.4,,,,,,,
Codepro,xisemele,9.6,,,,,,,
Manual,diebierse,2.1,,,,,,,
Manual,inspirento,19.3,,,,,,,
Manual,jnfe,7.6,,,,,,,
Manual,jniinchi,7.1,,,,,,,
Manual,jsecurity,22.4,,,,,,,
Manual,lagoon,6.3,,,,,,,
Manual,lavalamp,20.4,,,,,,,
Manual,netweaver,18.3,,,,,,,
Manual,saxpath,11.4,,,,,,,
Manual,xisemele,11.9,,,Evo1,Evo2,Evo3,Evo4,Evo5
Evosuite,diebierse,5.42,5.1,5.9,5.5,5.1,5.9,5.5,5.1
Evosuite,inspirento,13.52,13.4,13.7,13.5,13.7,13.5,13.4,13.5
Evosuite,jnfe,11.26,10.9,11.5,11.5,11.5,10.9,11.5,10.9
Evosuite,jniinchi,10.6,10.5,10.7,10.6,10.6,10.7,10.6,10.5
Evosuite,jsecurity,25.5,24.5,27.2,26.1,27.2,24.5,24.7,25
Evosuite,lagoon,17.82,17.6,18,17.8,17.9,18,17.8,17.6
Evosuite,lavalamp,11.98,8.9,21.1,21.1,10.4,9.6,9.9,8.9
Evosuite,netweaver,12.56,12,13.1,12,13.1,12.9,12.5,12.3
Evosuite,saxpath,12.1,10.4,12.6,12.6,12.6,10.4,12.5,12.4
Evosuite,xisemele,10.52,10.4,10.6,10.6,10.4,10.5,10.6,10.5
